"Method","Feature","Rank","Score"
"MIM","acousticness",1,0.501280724434902
"MIM","energy",2,0.495551026236029
"MIM","loudness",3,0.471633415318011
"MIM","danceability",4,0.464704240791334
"MIM","instrumentalness",5,0.361602121560111
"MIM","speechiness",6,0.22500320217849
"MIM","valence",7,0.173386752670649
"MIM","liveness",8,0.0224295301359554
"MRMR","acousticness",1,0.501280724434902
"MRMR","danceability",2,0.0579755765558764
"MRMR","instrumentalness",3,0.0475266952669287
"MRMR","speechiness",4,0.0326355968773813
"MRMR","energy",5,0.0958521336131289
"MRMR","loudness",6,-0.0071471117858653
"MRMR","liveness",7,-0.016626663068905
"MRMR","valence",8,0.00355006421656454
"CMIM","acousticness",1,0.501280724434902
"CMIM","danceability",2,0.0934808696913022
"CMIM","instrumentalness",3,0.0571779269497014
"CMIM","energy",4,0.0543185271852807
"CMIM","speechiness",5,0.0413094161384975
"CMIM","loudness",6,0.0263012575628843
"CMIM","valence",7,0.0113928791872092
"CMIM","liveness",8,0.00407773782694857
"JMI","acousticness",1,0.501280724434902
"JMI","danceability",2,0.594761594126205
"JMI","energy",3,1.14367066784855
"JMI","instrumentalness",4,1.67194434445545
"JMI","loudness",5,2.15792715127352
"JMI","speechiness",6,2.5455573683118
"JMI","valence",7,2.74211105161181
"JMI","liveness",8,2.77011253338002
"JMIM","acousticness",1,0.501280724434902
"JMIM","danceability",2,0.594761594126205
"JMIM","instrumentalness",3,0.556214400366039
"JMIM","energy",4,0.555599251620183
"JMIM","loudness",5,0.521852283798914
"JMIM","speechiness",6,0.425026563406073
"JMIM","valence",7,0.312824412695019
"JMIM","liveness",8,0.187871149212734
"JMI3","acousticness",1,0.501280724434902
"JMI3","danceability",2,0.594761594126205
"JMI3","instrumentalness",3,0.620705605418584
"JMI3","energy",4,1.8401476943799
"JMI3","valence",5,3.55999569884562
"JMI3","loudness",6,5.79377358741459
"JMI3","speechiness",7,8.5191430686225
"JMI3","liveness",8,11.2087053366327
"DISR","acousticness",1,0.501280724434902
"DISR","instrumentalness",2,0.197129793983135
"DISR","speechiness",3,0.362953439089893
"DISR","loudness",4,0.518828049169974
"DISR","energy",5,0.655756414908694
"DISR","danceability",6,0.772604130915807
"DISR","liveness",7,0.756259212201284
"DISR","valence",8,0.745965519610783
"NJMIM","acousticness",1,0.501280724434902
"NJMIM","instrumentalness",2,0.197129793983135
"NJMIM","loudness",3,0.168642313633371
"NJMIM","speechiness",4,0.167576191986856
"NJMIM","energy",5,0.155979257374609
"NJMIM","danceability",6,0.143467052137101
"NJMIM","valence",7,0.0889617302263974
"NJMIM","liveness",8,0.0467005851994429
