"music_genre","instrumentalness_mean","instrumentalness_variance","danceability_mean","danceability_variance","energy_mean","energy_variance"
"Electronic",0.348139247888,0.130856982424726,0.61922004,0.0216189852274439,0.73863634,0.0352921525359116
"Anime",0.278056574246,0.152575998907205,0.47100204,0.0221294141546693,0.6645680406,0.090173275152197
"",NA,NA,NA,NA,NA,NA
"Jazz",0.354270641396,0.146951431156282,0.5847364,0.0254361648520104,0.474846684,0.0572943243860414
"Alternative",0.060818086984,0.0303983224333702,0.54112386,0.02252194569784,0.71087968,0.0427830189388854
"Country",0.005320102728,0.00169004700177447,0.5773164,0.0118660398990198,0.6389028,0.0396455669095419
"Rap",0.009084377454,0.00426591133225198,0.6966046,0.0196649368462092,0.65130126,0.0243744319067938
"Blues",0.094134025068,0.0454562869240136,0.5292426,0.0209362437939988,0.609753034,0.0519355764520653
"Rock",0.054656192676,0.0277373762708875,0.53923036,0.0179855708524409,0.687791578,0.040385978735637
"Classical",0.600691907038,0.142904587663304,0.30656014,0.0182623654382681,0.176534419,0.0508877008730316
"Hip-Hop",0.010835659624,0.00534779953473847,0.717373,0.0170041627035407,0.64433404,0.0226386570366857
